City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
131,Mvomero,TZ,2020-11-07 18:32:13,-6.25,38.67,80.6,78,40,4.7,scattered clouds
132,Mount Gambier,AU,2020-11-07 18:32:13,-37.83,140.77,41.0,93,0,6.93,clear sky
133,Nenjiang,CN,2020-11-07 18:32:13,49.18,125.22,23.38,94,100,14.83,overcast clouds
134,Constitucion,CL,2020-11-07 18:32:14,-35.33,-72.42,66.9,51,0,14.97,clear sky
135,Nuuk,GL,2020-11-07 18:32:14,64.18,-51.72,24.8,79,75,2.24,shower rain
136,Pevek,RU,2020-11-07 18:32:14,69.7,170.31,17.46,97,100,2.89,light snow
137,Lata,PT,2020-11-07 18:32:14,40.16,-8.33,61.0,91,100,1.99,overcast clouds
138,Makakilo City,US,2020-11-07 18:32:14,21.35,-158.09,78.8,78,1,3.36,light rain
139,Kodiak,US,2020-11-07 18:27:25,57.79,-152.41,35.6,88,40,9.53,scattered clouds
140,Gondanglegi,ID,2020-11-07 18:32:14,-7.75,112.01,75.69,80,0,5.68,clear sky
141,Kaitangata,NZ,2020-11-07 18:32:15,-46.28,169.85,46.99,73,100,5.99,overcast clouds
142,Nabire,ID,2020-11-07 18:32:15,-3.37,135.48,76.78,87,100,2.73,overcast clouds
143,Gannavaram,IN,2020-11-07 18:32:15,16.53,80.8,73.98,90,0,3.91,clear sky
144,Hovd,MN,2020-11-07 18:32:15,48.01,91.64,27.99,89,54,0.47,broken clouds
145,Williston,US,2020-11-07 18:32:15,48.15,-103.62,33.8,64,90,9.17,overcast clouds
146,Yar-Sale,RU,2020-11-07 18:32:16,66.83,70.83,29.17,99,97,3.06,overcast clouds
147,Boyolangu,ID,2020-11-07 18:32:16,-8.12,111.89,75.24,82,0,0.74,clear sky
148,Barcelos,PT,2020-11-07 18:27:34,41.54,-8.62,60.8,87,75,14.99,shower rain
149,Guadalupe Y Calvo,MX,2020-11-07 18:32:16,26.1,-106.97,67.42,26,0,8.5,clear sky
150,Nikolskoye,RU,2020-11-07 18:31:28,59.7,30.79,48.2,81,90,11.18,overcast clouds
151,Luderitz,NA,2020-11-07 18:31:58,-26.65,15.16,63.32,85,0,5.82,clear sky
152,Pacific Grove,US,2020-11-07 18:30:22,36.62,-121.92,55.4,66,40,3.58,scattered clouds
153,Arraial Do Cabo,BR,2020-11-07 18:32:17,-22.97,-42.03,77.0,61,75,11.41,broken clouds
154,Champerico,GT,2020-11-07 18:32:17,14.3,-91.92,82.4,78,75,6.93,broken clouds
155,Honiara,SB,2020-11-07 18:32:17,-9.43,159.95,73.4,94,20,2.24,few clouds
