City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
444,Registro,BR,78.98,clear sky,-24.49,-47.84,Régis Hotel
450,Lorengau,PG,81.1,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
451,Acandi,CO,86.43,clear sky,8.51,-77.28,Hotel Patio Bonito
453,La Asuncion,VE,83.77,overcast clouds,11.03,-63.86,Colinas de Matasiete
456,Siocon,PH,75.92,overcast clouds,7.71,122.14,MSWDO
463,Les Cayes,HT,80.87,overcast clouds,18.2,-73.75,Villa Orphee
464,Vaitape,PF,79.61,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
468,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
472,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
473,Pran Buri,TH,77.0,overcast clouds,12.38,99.91,Waterside Resort
478,Fort Walton Beach,US,77.0,scattered clouds,30.41,-86.62,Best Western Ft. Walton Beachfront
484,Baracoa,CU,76.91,overcast clouds,20.35,-74.5,Hostal Rio Miel
506,Buala,SB,79.65,clear sky,-8.14,159.59,Maringe Lagoon Lodge
507,Palu,ID,75.83,moderate rain,-0.89,119.87,Hotel Santika Palu
508,Olinda,BR,84.2,broken clouds,-8.01,-34.86,Hotel 5 Sóis
513,Mindelo,CV,82.4,broken clouds,16.89,-24.98,Hotel Gaudi
514,Turiacu,BR,89.28,broken clouds,-1.66,-45.37,Pousada Borges
517,Mackay,AU,75.2,light rain,-21.15,149.2,International Lodge Motel
519,Zapotiltic,MX,80.6,few clouds,19.62,-103.43,HOTEL HUIZAPOLES
520,Puerto Escondido,MX,87.8,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
522,Fonte Boa,BR,82.81,overcast clouds,-2.5,-66.27,
523,Thinadhoo,MV,84.52,overcast clouds,0.53,72.93,
527,Dickinson,US,80.01,clear sky,29.46,-95.05,Candlewood Suites League City
528,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
529,Sinnamary,GF,84.18,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
534,Wesselsbron,ZA,78.37,clear sky,-27.85,26.37,Wesselsbron Lodge
535,Cotui,DO,84.2,scattered clouds,19.05,-70.15,Hostal Maria Yobón
537,Abu Zabad,SD,77.5,overcast clouds,12.35,29.25,محي الدين نوري
541,Arinos,BR,85.73,overcast clouds,-15.92,-46.11,casa do bruno
550,Cockburn Town,TC,78.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
552,Jiwani,PK,76.3,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
557,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
558,Adre,TD,75.02,few clouds,13.47,22.2,
563,Madimba,TZ,78.8,few clouds,-10.4,40.33,
564,Sarangani,PH,82.06,overcast clouds,5.4,125.46,Ballistic Islet
568,Baculin,PH,78.35,light rain,7.45,126.58,Shovy's Cove
570,Coahuayana,MX,80.6,few clouds,18.73,-103.68,Hotel Los Arcos
573,Jeremoabo,BR,83.32,light rain,-10.07,-38.48,
575,Manadhoo,MV,83.55,light rain,5.77,73.38,Vevu Guesthouse
