City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Tuatapere,NZ,2020-11-07 00:48:13,-46.13,167.68,45.12,90,100,7.67
100,Hualmay,PE,2020-11-07 00:46:06,-11.1,-77.61,61.61,86,7,5.66
101,Pyaozerskiy,RU,2020-11-07 00:48:14,65.83,31.17,38.89,74,0,17.34
102,Bilma,NE,2020-11-07 00:45:32,18.69,12.92,68.52,24,0,8.55
103,Pombas,CV,2020-11-07 00:48:14,17.15,-25.02,77.0,73,75,11.41
104,Popondetta,PG,2020-11-07 00:48:14,-8.75,148.25,90.36,52,29,5.77
105,Tazovskiy,RU,2020-11-07 00:48:15,67.47,78.7,16.34,98,100,9.01
106,Kulhudhuffushi,MV,2020-11-07 00:46:47,6.62,73.07,82.53,73,74,4.63
107,Gilgit,PK,2020-11-07 00:48:15,35.92,74.31,46.8,38,0,4.27
108,Carnarvon,AU,2020-11-07 00:48:15,-24.87,113.63,73.4,88,90,17.22
109,Svetlogorsk,BY,2020-11-07 00:48:15,52.63,29.73,44.8,96,100,10.45
110,Deputatskiy,RU,2020-11-07 00:43:46,69.3,139.9,-9.18,93,30,1.68
111,Saint-Philippe,RE,2020-11-07 00:43:17,-21.36,55.77,69.8,68,0,6.93
112,Shingu,JP,2020-11-07 00:43:34,33.73,135.98,64.4,100,75,3.36
113,San Pedro,PH,2020-11-07 00:48:16,14.35,121.02,84.99,74,75,5.37
114,Ngunguru,NZ,2020-11-07 00:48:16,-35.62,174.5,66.99,92,3,15.99
115,Pemangkat,ID,2020-11-07 00:47:09,1.17,108.97,81.27,78,90,3.8
116,Port Hardy,CA,2020-11-07 00:48:16,50.7,-127.42,44.6,70,40,14.99
117,Chokurdakh,RU,2020-11-07 00:43:20,70.63,147.92,-0.27,94,100,7.38
118,La Romana,DO,2020-11-07 00:48:17,18.43,-68.97,78.8,94,40,6.58
119,Airai,TL,2020-11-07 00:48:17,-8.93,125.41,77.56,33,0,6.46
120,Coahuayana,MX,2020-11-07 00:45:28,18.73,-103.68,78.8,69,5,11.41
121,Srednekolymsk,RU,2020-11-07 00:48:17,67.45,153.68,-0.02,93,100,7.09
122,Valparaiso,CL,2020-11-07 00:44:01,-33.04,-71.63,55.4,82,0,4.7
123,San Jose,US,2020-11-07 00:45:33,37.34,-121.89,59.0,44,40,10.29
124,Nong Han,TH,2020-11-07 00:48:18,17.36,103.11,73.99,78,75,2.24
